"Name","Sweep","Tags","ctsne.beta","fastctsne.alpha","fastctsne.fixed_perp","fastctsne.hd_df","fastctsne.hd_tdist","method","dataset","adjusted_RNX","jaccard_similarity_mean","jaccard_similarity_median","laplacian_celltype_mean","laplacian_celltype_median","laplacian_mean","laplacian_median","runtime"
"crisp-sweep-17","mkokfpae","fastctsne, synthetic","","1e-30","","","","fastctsne","synthetic","0.46851884123742527","0.32742928333097854","0.3333333333333333","0.0008000000000000001","0","0.49093333333333333","0.4666666666666667","8.189868211746216"
"upbeat-sweep-16","mkokfpae","fastctsne, synthetic","","1e-20","","","","fastctsne","synthetic","0.4670448982679071","0.32614898287505417","0.3333333333333333","0","0","0.489911111111111","0.4666666666666667","8.554763555526733"
"distinctive-sweep-16","ky6wba8f","fastctsne, synthetic","","1e-30","true","0","false","fastctsne","synthetic","0.4644598290598291","0.3239690048819473","0.3333333333333333","0.0008666666666666667","0","0.47991111111111107","0.4666666666666667","10.414666891098022"
"comfy-sweep-15","ky6wba8f","fastctsne, synthetic","","1e-20","true","0","false","fastctsne","synthetic","0.4633487028212691","0.3228998169674952","0.3333333333333333","0.0007777777777777778","0","0.4798222222222222","0.4666666666666667","8.702856302261353"
"restful-sweep-14","ky6wba8f","fastctsne, synthetic","","1e-10","true","0","false","fastctsne","synthetic","0.4765461614098782","0.33332256925988085","0.3333333333333333","0.0012444444444444445","0","0.45073333333333326","0.4666666666666667","11.657942533493042"
"cosmic-sweep-15","mkokfpae","fastctsne, synthetic","","1e-10","","","","fastctsne","synthetic","0.47187489599878985","0.3307006667268663","0.3333333333333333","0.000777777777777778","0","0.4325333333333333","0.4666666666666667","12.0022931098938"
"autumn-sweep-13","ky6wba8f","fastctsne, synthetic","","1e-9","true","0","false","fastctsne","synthetic","0.4781788366991907","0.3358094873015471","0.3333333333333333","0.0009555555555555556","0","0.4235555555555555","0.4666666666666667","11.690449714660645"
"distinctive-sweep-14","mkokfpae","fastctsne, synthetic","","1e-9","","","","fastctsne","synthetic","0.4624189849481885","0.3215679105721589","0.30434782608695654","0.000022222222222222223","0","0.4097111111111111","0.43333333333333335","10.73580002784729"
"ancient-sweep-12","ky6wba8f","fastctsne, synthetic","","1e-8","true","0","false","fastctsne","synthetic","0.4844147492625369","0.34057935417070545","0.3333333333333333","0.0002","0","0.3865333333333333","0.4","12.200846433639526"
"fragrant-sweep-13","mkokfpae","fastctsne, synthetic","","1e-8","","","","fastctsne","synthetic","0.4775665834656985","0.3354215045753602","0.3333333333333333","0.0002222222222222222","0","0.37206666666666666","0.4","13.138556718826294"
"earthy-sweep-11","ky6wba8f","fastctsne, synthetic","","1e-7","true","0","false","fastctsne","synthetic","0.49779361621662505","0.3518636939700454","0.3333333333333333","0.00046666666666666666","0","0.3334","0.3","11.157855987548828"
"good-sweep-9","e9fcy716","ctsne, synthetic","0.0001","","","","","ctsne","synthetic","0.3757738143862038","0.25476358663614046","0.22448979591836735","0.3199555555555555","0.4","0.32026666666666664","0.4","10.713706970214844"
"generous-sweep-16","e9fcy716","ctsne, synthetic","1e-20","","","","","ctsne","synthetic","0.40627309583238785","0.2794222507608416","0.25","0.1872222222222222","0","0.2803777777777778","0.3","9.88576602935791"
"deep-sweep-17","e9fcy716","ctsne, synthetic","1e-30","","","","","ctsne","synthetic","0.40627309583238785","0.2794222507608416","0.25","0.1872222222222222","0","0.2803777777777778","0.3","10.116976976394652"
"easy-sweep-10","ky6wba8f","fastctsne, synthetic","","0.000001","true","0","false","fastctsne","synthetic","0.5087234702367446","0.3634402452079373","0.3636363636363637","0.0011111111111111111","0","0.26211111111111113","0.16666666666666666","11.051410436630247"
"daily-sweep-12","mkokfpae","fastctsne, synthetic","","1e-7","","","","fastctsne","synthetic","0.4958208002420392","0.35193570768792853","0.3333333333333333","0","0","0.24844444444444447","0.16666666666666666","12.54884958267212"
"elated-sweep-14","e9fcy716","ctsne, synthetic","1e-9","","","","","ctsne","synthetic","0.42851829664927016","0.2984401894614554","0.2765957446808511","0.157","0","0.23242222222222217","0.16666666666666666","9.34476399421692"
"balmy-sweep-15","e9fcy716","ctsne, synthetic","1e-10","","","","","ctsne","synthetic","0.4420332198774677","0.3101586821807375","0.2765957446808511","0.16","0","0.2119333333333333","0.1","9.09375023841858"
"playful-sweep-8","e9fcy716","ctsne, synthetic","0.001","","","","","ctsne","synthetic","0.4533712427199153","0.32043639043422945","0.30434782608695654","0.16202222222222223","0","0.19142222222222224","0.06666666666666667","9.424962043762209"
"cosmic-sweep-10","e9fcy716","ctsne, synthetic","0.00001","","","","","ctsne","synthetic","0.4614212389380531","0.32792290253842316","0.3333333333333333","0.1662","0","0.1774222222222222","0","10.974520683288574"
"smart-sweep-12","e9fcy716","ctsne, synthetic","1e-7","","","","","ctsne","synthetic","0.46858686937448","0.3336955163160756","0.3333333333333333","0.1320666666666667","0","0.162","0","10.670836210250854"
"vague-sweep-9","ky6wba8f","fastctsne, synthetic","","0.00001","true","0","false","fastctsne","synthetic","0.5253903638151426","0.3810753313286338","0.3953488372093023","0.00035555555555555557","0","0.15891111111111111","0.06666666666666667","12.89016842842102"
"charmed-sweep-13","e9fcy716","ctsne, synthetic","1e-8","","","","","ctsne","synthetic","0.4844601013539067","0.3475863828752534","0.3333333333333333","0.127","0","0.15364444444444444","0","10.265027523040771"
"stellar-sweep-11","e9fcy716","ctsne, synthetic","0.000001","","","","","ctsne","synthetic","0.48216982073973225","0.34613126530899113","0.3333333333333333","0.13195555555555555","0","0.14935555555555555","0","9.898659944534302"
"volcanic-sweep-7","e9fcy716","ctsne, synthetic","0.01","","","","","ctsne","synthetic","0.5172496634142653","0.3747282441466262","0.3636363636363637","0.003044444444444444","0","0.09608888888888888","0","8.818645238876343"
"soft-sweep-11","mkokfpae","fastctsne, synthetic","","0.000001","","","","fastctsne","synthetic","0.5593364042054307","0.4122144885140704","0.3953488372093023","0.0012444444444444445","0","0.0818888888888889","0.03333333333333333","12.5854811668396"
"warm-sweep-8","ky6wba8f","fastctsne, synthetic","","0.0001","true","0","false","fastctsne","synthetic","0.5555495045760532","0.40909429692934934","0.3953488372093023","0.000022222222222222223","0","0.07742222222222223","0","11.259127616882324"
"glowing-sweep-10","mkokfpae","fastctsne, synthetic","","0.00001","","","","fastctsne","synthetic","0.571626820966644","0.42346464959198193","0.42857142857142855","0.0014222222222222225","0","0.0372","0","12.551785945892334"
"fine-sweep-7","ky6wba8f","fastctsne, synthetic","","0.001","true","0","false","fastctsne","synthetic","0.5616266848196051","0.41320872243026674","0.42857142857142855","0.0002222222222222222","0","0.01748888888888889","0","10.111054420471191"
"astral-sweep-9","mkokfpae","fastctsne, synthetic","","0.0001","","","","fastctsne","synthetic","0.5672276681037743","0.418254046181098","0.42857142857142855","0.0001777777777777778","0","0.014155555555555557","0","13.25318956375122"
"morning-sweep-6","e9fcy716","ctsne, synthetic","0.1","","","","","ctsne","synthetic","0.5637809091596702","0.41533161770183913","0.42857142857142855","0.011711111111111111","0","0.0118","0","9.037818431854248"
"visionary-sweep-5","e9fcy716","ctsne, synthetic","0.2","","","","","ctsne","synthetic","0.5639849935708343","0.4154106627881717","0.3953488372093023","0.002511111111111111","0","0.006222222222222221","0","8.78126573562622"
"comfy-sweep-6","ky6wba8f","fastctsne, synthetic","","0.01","true","0","false","fastctsne","synthetic","0.5767062552000605","0.4275483773754161","0.42857142857142855","0","0","0.0019111111111111117","0","10.91906189918518"
"copper-sweep-2","e9fcy716","ctsne, synthetic","0.8","","","","","ctsne","synthetic","0.5629418954693292","0.4135850741941808","0.3953488372093023","0.0010000000000000002","0","0","0","7.57201075553894"
"ethereal-sweep-5","mkokfpae","fastctsne, synthetic","","0.2","","","","fastctsne","synthetic","0.5746880871341049","0.42585960234784487","0.42857142857142855","0","0","0","0","11.890487432479858"
"fallen-sweep-1","ky6wba8f","fastctsne, synthetic","","0.8","true","0","false","fastctsne","synthetic","0.5713093563270555","0.42211097126761055","0.42857142857142855","0.000977777777777778","0","0","0","10.817334175109863"
"lilac-sweep-4","ky6wba8f","fastctsne, synthetic","","0.2","true","0","false","fastctsne","synthetic","0.5673864004235686","0.4181890144540814","0.42857142857142855","0.000044444444444444447","0","0","0","10.062831401824951"
"driven-sweep-2","ky6wba8f","fastctsne, synthetic","","0.6","true","0","false","fastctsne","synthetic","0.5768649875198548","0.4278302700610299","0.42857142857142855","0.0010666666666666665","0","0","0","10.539822816848757"
"eager-sweep-3","mkokfpae","fastctsne, synthetic","","0.6","","","","fastctsne","synthetic","0.5715814688752742","0.422856161338117","0.42857142857142855","0","0","0","0","10.170671939849854"
"polished-sweep-5","ky6wba8f","fastctsne, synthetic","","0.1","true","0","false","fastctsne","synthetic","0.5713547084184253","0.4224258523876788","0.42857142857142855","0","0","0","0","10.202513456344604"
"breezy-sweep-8","mkokfpae","fastctsne, synthetic","","0.001","","","","fastctsne","synthetic","0.5673410483321988","0.4183146939836476","0.42857142857142855","0.0007111111111111111","0","0","0","19.143493175506592"
"glad-sweep-6","mkokfpae","fastctsne, synthetic","","0.1","","","","fastctsne","synthetic","0.5778400574843053","0.42806647906308265","0.42857142857142855","0","0","0","0","10.085381746292114"
"amber-sweep-7","mkokfpae","fastctsne, synthetic","","0.01","","","","fastctsne","synthetic","0.5693138643067847","0.4203668957286512","0.42857142857142855","0.00008888888888888889","0","0","0","9.78857159614563"
"crimson-sweep-4","e9fcy716","ctsne, synthetic","0.4","","","","","ctsne","synthetic","0.5531231676877695","0.40409467147861855","0.3953488372093023","0.002577777777777778","0","0","0","7.924407482147217"
"eager-sweep-2","mkokfpae","fastctsne, synthetic","","0.8","","","","fastctsne","synthetic","0.570969215641782","0.4214794200870873","0.42857142857142855","0.00015555555555555554","0","0","0","10.516181707382202"
"fresh-sweep-1","e9fcy716","ctsne, synthetic","1","","","","","ctsne","synthetic","0.5627151350124802","0.4142740840697074","0.3953488372093023","0.001488888888888889","0","0","0","8.461562156677246"
